Categorical_1,Categorical_2,Feature_1,Feature_2,Feature_3,Label
2,1,2824.8020925491824,2530.517099737887,2717.8425444485442,4
1,1,908.5380510605253,1371.4033477601326,1480.6033797957762,2
1,0,4264.296027285614,4085.271732434677,4433.111425941158,4
2,1,650.8098829881919,1537.1630578395668,1002.7647239051378,0
2,1,743.9723852572148,1580.194147102687,992.4267311036397,0
2,1,1989.267189507281,1742.4592218178734,2969.138020631843,3
1,0,2809.269378792753,2485.357979836327,2702.4459477538344,4
2,0,383.1994542190294,734.3704842892339,2093.513218426124,3
0,0,711.658672777311,804.7336767518947,1000.8131013847297,0
2,1,735.2347253048644,839.0036751634566,989.5651874885094,0
2,1,3569.701083925321,3239.44850959625,3532.5955436626105,4
0,1,2076.957570955393,1667.6237290950576,2139.4602223017187,3
0,1,1479.7062606637085,2344.383211453756,2246.4659901576388,2
2,0,4165.597387945095,4007.7316165360085,4377.045101507195,4
1,1,698.7315436656625,766.7465462441618,967.9581163601476,0
1,1,926.6862735060279,1410.4217122049893,1504.6487315094603,2
1,1,78.28259436536558,208.0980416529909,309.64409051222015,0
0,1,1818.867500844511,1306.2285651302298,1900.9252377478358,1
0,1,1800.7910591201105,1270.8605491994963,1942.3173023026545,1
1,0,388.8550414966377,706.3365008800429,874.8189255666778,3
2,0,887.8076390460225,1416.669361901559,1479.9403767740312,2
2,1,396.11789842172453,711.2907421974959,2167.68351359592,3
0,0,698.4469246286676,1632.485777825597,956.0927829259681,0
0,0,291.702604656965,410.2368733248006,496.05808089396197,2
2,1,2017.6472178688093,1691.5216106826847,3094.247092686904,3
1,1,90.12262925529579,791.8233020951491,318.8494683308631,0
2,0,4226.192623986301,4099.441766782347,4297.213448619643,4
1,1,834.7496833237304,1459.9412087583999,1542.5403235119934,2
0,1,1479.3550636644843,2338.702168193447,2228.1615610040685,3
1,0,909.5497771921887,1441.2451313444096,1529.4202729097694,2
1,1,3565.160259570916,3190.4087215620098,3537.170319991897,4
0,1,97.76807217613933,210.94986325775133,301.368618599186,0
2,1,3505.057308202854,3231.4127382955367,3547.0475978855593,4
0,1,692.2953987604733,1610.3685760880971,1013.698293306316,0
0,0,2764.8934380321557,2505.2246096596064,2677.3474105243677,4
1,1,1816.2571947077952,1318.39955542748,1886.9832748680417,1
2,1,2077.6748864201422,1713.4468394869843,2122.9976035917744,3
2,0,2034.2415716418632,1682.737257456838,2168.04286810799,3
1,0,380.08418890493573,700.7587401954038,869.6747281343011,3
0,1,378.6781288122556,697.3828455211119,2046.8620734592562,4
2,1,394.24925856355816,716.3290263506198,2061.636257161306,3
0,0,100.97633470973032,209.08779180380088,295.16427993068663,0
1,1,3445.288932140391,3202.2021062047534,3541.695119806223,4
0,0,652.7064858031147,740.9533168823798,1021.4685570483,0
2,1,383.434602299607,683.0196681621294,932.113799860854,3
1,0,4215.119246606895,3945.996764479144,4310.751225732355,4
2,0,736.6456521767303,815.9455375010241,1013.4443599964922,0
0,0,1753.5576661989878,1307.5913738595536,1905.2512801638854,1
1,0,85.27222652066735,212.379097686461,295.8408189010266,0
0,1,3576.5921503701247,3255.3634140348977,3505.5315334669112,4
2,0,728.3350208042325,1614.7839436562126,1080.7942261499707,0
1,1,900.837574691296,1385.9087865274491,1477.5581976467033,2
1,0,3419.507509365471,3131.078985487961,3519.4748216854578,4
1,0,3576.5909362793004,3227.1817378838296,3526.9954082396885,4
2,0,678.4331769362798,799.3598366129138,1008.1608423787168,0
2,0,1571.8401476929507,2271.6919118956803,2236.6809768005114,2
0,1,307.0724230580086,404.67913426290806,495.3800044707162,2
0,1,3508.3490318092777,3150.481646158481,3604.3202342988625,4
0,0,618.8338869095252,1645.242822450906,973.9085668115396,0
0,1,1178.5111292894665,112.35610163616752,1226.0814993367314,1
1,0,2518.426996029578,2160.765160232063,2624.686760449883,1
0,0,725.9558642127225,1621.5974620533398,1047.8395911512841,0
2,1,1740.2063899302925,1298.3631067809486,1921.9572615070758,1
2,0,2025.2715625451674,1786.6024537713824,3052.417310440825,3
1,0,101.5562563954412,842.4211905769329,295.0015021928637,0
2,1,425.16324918767464,675.4284891197083,899.3702259498565,3
0,0,651.0301586640692,793.1944419976317,1000.4830938074049,0
1,1,1186.7914921067675,106.75648365889082,1196.0716655152132,1
1,1,874.2778444188162,1410.3224233321937,1466.0930463606694,2
2,1,2022.73968468221,1638.8789976602795,2959.789260344828,3
0,1,2036.1141908482914,1753.9254470747785,3092.122326166574,3
1,0,319.1467009768837,392.5348024472854,484.7814954013216,2
2,1,4223.660058539795,3959.493193135079,4477.064558242407,4
2,0,1214.5835762045708,81.79716227726706,1197.3514324009323,1
2,1,104.53151876721815,817.1703343951979,291.2079607147964,0
2,1,115.98324384141998,769.3756513899575,278.2224370034964,0
2,1,3551.0187550016994,3172.250747335847,3554.1603951430493,3
0,1,2541.2306641730797,2085.2937743533735,2586.5653615023866,0
0,0,2470.315530488522,2049.4010590664816,2669.9249185487615,1
0,1,100.9140241870256,208.24955597845894,296.32144344626073,0
0,0,2742.384984002654,2524.079369257308,2663.952845845839,4
2,0,1819.155208511262,1288.6272145777725,1904.2905003892033,1
1,0,95.86252451992675,832.5685761368355,299.7843513240211,0
1,1,310.0479673429818,404.076528541272,511.4159320736039,2
1,0,123.07601717307584,209.89923296054448,288.8209579524938,0
2,0,105.85100596794595,781.7242578588357,301.40547265037264,0
0,1,2808.252543334999,2527.6549192778793,2735.3310936787198,4
1,0,110.68332059671663,816.7876548489937,275.53880471564753,0
1,1,862.259757457485,1390.447912793988,1440.3962732626062,2
0,0,4157.078067128623,4033.593192684012,4409.933705669625,4
1,0,1185.7086655095507,104.39920453869314,1210.409873265379,1
2,0,2487.3462906687423,2084.9816585749436,2602.925630329996,1
1,0,667.1766880404854,809.8581310367773,1000.5862184709117,0
2,1,91.777313619188,809.4193203585558,324.35230811980585,0
2,1,4199.335794763119,4031.2990047123058,4444.35606961157,4
1,1,399.5191263489365,685.1944940950817,2151.545918128504,3
1,1,1202.627989551412,101.54492074285521,1184.9104678003398,1
1,0,1543.6801865367067,2234.766552632136,2211.6150863992743,2
1,1,2057.5519830652297,1713.4663470599758,2142.3852287093696,3
1,0,1482.518846085687,2287.323169786281,2192.5958254159973,1
0,0,302.65510665144996,418.3141466383908,509.2045474978955,2
1,1,91.40364184857958,794.2958502922493,311.18763882027525,0
1,0,2799.325302956884,2489.9112020367447,2720.3191508621594,4
2,0,1191.4933735621632,116.09008637031974,1214.1461573426734,1
0,1,719.6659690508477,1560.8678406764207,1029.982686252312,0
2,0,1800.9858713369708,1275.65522074702,1939.3441219025547,1
2,0,4168.67791410685,3950.076253070095,4429.217165258087,4
0,0,4218.173116075006,4002.930270152843,4490.568436772632,4
1,1,1939.8771536450745,1672.0978550806649,3014.5592217259123,3
1,1,406.3263340234789,714.0993323647227,2049.7242648702077,3
1,1,3484.100677161664,3224.114390317874,3440.5018595015695,4
1,1,402.8643957816012,710.8448436194909,876.2590780652793,3
0,0,402.5060492750545,722.3309454838133,2062.087558201845,3
0,0,3588.9845327225485,3226.3045650828694,3488.5981293145774,4
1,1,3536.0774312869407,3122.8474905602293,3496.4097072946183,4
0,1,403.6527050716273,696.5685073924978,2155.3753056249006,3
1,0,394.0078875588455,693.1333834973723,917.4478787404719,3
2,1,1780.921718078585,1290.9348188719482,1878.0037914252448,1
2,0,2379.8525669475093,2092.247746398125,2642.0368738950765,1
0,1,2036.8546862967414,1738.1330330546082,2899.9643067043585,3
0,1,1976.9476094100842,1688.1654020182389,2998.189037310202,3
1,0,3520.3960760434043,3161.3015593274863,3531.5147925088313,4
1,1,1979.9521049555017,1681.4227884015406,3068.208669556784,3
2,1,2525.5870216779144,2113.6330614282406,2559.5524600191197,1
